Date,Open,High,Low,Close,Volume,Ticker,MA_20,Daily_Return
2025-09-29,254.31347273152574,254.75304905914027,252.76497075706976,254.18359375,40127700,AAPL,,
2025-09-29,510.5444265624633,515.8844074376258,507.9293260645142,513.6386108398438,17617800,MSFT,,
2025-09-29,248.11310889238666,251.48391066241172,243.04142104059784,244.20066833496094,23157200,GOOG,,
2025-09-29,120.5,122.4489974975586,118.75399780273438,120.64099884033203,30332000,NFLX,,
2025-09-30,242.90151883167655,243.51612333212861,239.4147952973542,243.39120483398438,22541200,GOOG,,-0.0033147472793410016
2025-09-30,512.2811987663596,517.1919905812645,508.70790002171145,516.982421875,19728200,MSFT,,0.006510046099705846
2025-09-30,254.61318058017173,255.67215158054225,252.8648753735947,254.38340759277344,37704300,AAPL,,0.0007861004710238984
2025-09-30,120.64099884033203,120.8499984741211,117.80000305175781,119.89199829101562,38303000,NFLX,,-0.0062085075265971845
2025-10-01,513.8382741479315,519.5376290534263,510.7340986553811,518.7391357421875,22632300,MSFT,,0.0033980146961596347
2025-10-01,241.02274023707793,246.98884894065887,239.0440354920674,245.37989807128906,23967700,GOOG,,0.008170768695858088
2025-10-01,254.7929996074261,258.53938316103813,254.6831055272507,255.20260620117188,48713900,AAPL,,0.003220330351537015
2025-10-01,117.54900360107422,117.91400146484375,116.32099914550781,117.08999633789062,41102000,NFLX,,-0.023371050554380268
2025-10-02,516.6730253227585,520.625588764222,509.7260051791023,514.7765502929688,21222900,MSFT,,-0.007638878920421699
2025-10-02,245.4798394250779,247.4735337836427,242.94648861306507,246.26931762695312,20657500,GOOG,,0.0036246634816257117
2025-10-02,256.33149581258533,257.9299523535748,253.9038565188199,256.8809814453125,42630200,AAPL,,0.006576638338942287
2025-10-02,116.1500015258789,116.33300018310547,113.4000015258789,116.25299835205078,46855000,NFLX,,-0.007148330446817064
2025-10-03,516.1339509263171,519.5176324904353,514.0378984273964,516.3834838867188,15112300,MSFT,,0.003121613820278757
2025-10-03,245.0701008850218,246.95687035937326,242.31190594958701,246.289306640625,19941400,GOOG,,8.11672922331752e-05
2025-10-03,116.5,116.80000305175781,114.3219985961914,115.33200073242188,31374000,NFLX,,-0.007922355833264949
2025-10-03,254.42336451804394,258.9889308017334,253.70406057825727,257.7701110839844,49155600,AAPL,,0.0034612513299712155
2025-10-06,257.7401350456914,258.819106172963,254.80299514816292,256.44140625,44664100,AAPL,,-0.0051546117135026215
2025-10-06,116.03700256347656,116.35800170898438,114.54499816894531,116.33100128173828,29686000,NFLX,,0.008661954557037
2025-10-06,517.6411650074094,530.0380069481532,517.2319577376861,527.5825805664062,21388600,MSFT,,0.02168755785021248
2025-10-06,245.61974856895048,252.03556085596028,245.52981090927676,251.34600830078125,18309000,GOOG,,0.020531551812498217
2025-10-07,117.77899932861328,120.13700103759766,117.74600219726562,119.10600280761719,33091000,NFLX,,0.02385435950265924
2025-10-07,248.76768624174676,251.38598832802836,246.64907339611258,246.9688720703125,13811200,GOOG,,-0.01741478315116396
2025-10-07,256.56129542181253,257.15072039039774,255.18262697514498,256.23162841796875,31955800,AAPL,,-0.0008180341665524615
2025-10-07,527.3030443984364,528.8102332144322,520.4658657072805,523.0010986328125,14615200,MSFT,,-0.008683914333705078
2025-10-08,246.0394650074506,247.09877140655033,244.9301881605209,245.29995727539062,14136500,GOOG,,-0.006757591679192432
2025-10-08,119.71099853515625,121.73899841308594,119.19999694824219,121.42500305175781,28514000,NFLX,,0.019470053477374405
2025-10-08,256.2715719294531,258.2696351050741,255.8619653198879,257.8100891113281,36496900,AAPL,,0.00616028826380699
2025-10-08,522.3024933531,525.9656203925812,522.1128458539913,523.8695068359375,13363400,MSFT,,0.0016604328468814433
2025-10-09,521.3642478231245,523.3505205733983,516.4334737589328,521.4241333007812,18343600,MSFT,,-0.004667905849160436
2025-10-09,244.9002108090174,245.39488317397436,239.52371385692186,242.0520782470703,19375700,GOOG,,-0.013240438622147854
2025-10-09,121.42500305175781,123.75,121.18199920654297,123.10700225830078,28241000,NFLX,,0.013852165240020753
2025-10-09,257.5603136690899,257.75013209688524,252.8948383011137,253.79396057128906,38322000,AAPL,,-0.01557785637436715
2025-10-10,254.69310389004832,256.13171175032437,243.76369637579657,245.032470703125,61999100,AAPL,,-0.03452205816262133
2025-10-10,518.6692706129455,522.6019127014883,508.6779606337136,510.0054626464844,24133800,MSFT,,-0.021899006825811917
2025-10-10,242.00211257865035,244.68035786865013,236.53067624153942,237.3351593017578,22449100,GOOG,,-0.01948720696584061
2025-10-10,122.9000015258789,124.69999694824219,121.91000366210938,122.00800323486328,42798000,NFLX,,-0.008927185320714792
2025-10-13,240.87283726789343,244.83026189387334,240.5930210593619,244.48048400878906,12465000,GOOG,,0.030106473596465344
2025-10-13,249.13848619669534,249.44818352992385,245.32217845998096,247.42015075683594,38142900,AAPL,,0.009744341420789837
2025-10-13,515.4452371680482,515.4452371680482,510.7240930552238,513.0896606445312,14284200,MSFT,,0.006047382281049618
2025-10-13,122.13500213623047,123.11199951171875,120.68099975585938,121.90299987792969,24608000,NFLX,,-0.0008606267961902558
2025-10-14,241.59737415880704,247.86327497207864,241.0207392770717,246.02947998046875,17705400,GOOG,,0.00633586757634208
2025-10-14,509.2768388871209,514.3174231454748,505.05473007895694,512.610595703125,14684300,MSFT,,-0.0009336866012938927
2025-10-14,246.36117950382103,248.60900042906025,244.46301046499008,247.53004455566406,35478000,AAPL,,0.00044415864468594357
2025-10-14,121.4749984741211,122.42900085449219,120.30999755859375,121.53500366210938,23624000,NFLX,,-0.003018762591476931
2025-10-15,247.92324680271904,252.59518634371952,246.62907776804082,251.54588317871094,16048100,GOOG,,0.022421716286520343
2025-10-15,121.3010025024414,121.96199798583984,120.16100311279297,120.3290023803711,20252000,NFLX,,-0.009923077676380343
2025-10-15,249.24838988167792,251.5761352503302,247.2303418581919,249.09852600097656,33893600,AAPL,,0.006336529564029414
2025-10-15,513.9979961583023,516.2238106749688,509.04724028199115,512.4708251953125,14694700,MSFT,,-0.00027266410211590486
2025-10-16,248.00958596667436,248.79881419551728,244.8926123625184,247.21035766601562,39777000,AAPL,,-0.007580006053321764
2025-10-16,511.62245544117155,515.884437136842,507.1807563967364,510.65423583984375,15559600,MSFT,,-0.003544766386996634
2025-10-16,121.21499633789062,121.6709976196289,117.5999984741211,118.35900115966797,28326000,NFLX,,-0.016371790522086815
2025-10-16,252.30038456613704,257.412039733801,250.5065567686617,251.7157745361328,18946000,GOOG,,0.0006753891388522337
2025-10-17,251.18611550864574,254.71381258280724,248.42790538348763,253.62451171875,17653800,GOOG,,0.007582906498945663
2025-10-17,118.36000061035156,120.31199645996094,117.8949966430664,119.93599700927734,29571000,NFLX,,0.013323835400418593
2025-10-17,247.77980070207627,253.13461023404025,247.03052706557392,252.045654296875,49147000,AAPL,,0.019559441912186948
2025-10-17,508.0890780500653,514.5170195527368,506.3622988729776,512.62060546875,19867800,MSFT,,0.0038506870028647278
2025-10-20,255.06359074677613,257.71187214774994,254.4340118637041,256.8524169921875,13726800,GOOG,,0.012727102958475012
2025-10-20,120.78800201416016,124.7760009765625,120.69000244140625,123.85600280761719,39862000,NFLX,,0.03268414734599334
